Course Data file,,,2019 August,,,,,
This file contains the data of coursera courses,,,,,,,,
s no,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,num_students,usa_students,course_length
287,Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260000,52000,44
288,Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced,140000,,194
289,Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170000,,208
290,Construction Project Management,Columbia University,COURSE,4.8,Beginner,43000,,58
291,Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,180000,21600,62
292,Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7900,2765,228
293,Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49000,,164
294,Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28000,,239
295,Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39000,,173
296,Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14000,,280
297,Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,23000,,125
298,Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner,90000,,70
299,"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47000,,257
300,Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220000,,15
301,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10000,,32
302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36000,,35
303,English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130000,37700,72
304,Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,,16000,3840,27
305,Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43000,16770,45
306,Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed,29000,,54
307,Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,220000,,40
308,Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270000,,56
309,Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8800,,214
310,Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310000,93000,71
311,Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120000,,21
312,Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69000,23460,28
313,Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31000,,276
314,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4100,1312,74
315,Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120000,16800,148
316,Operating Systems and You: Becoming a Power User,Google,COURSE,4.6,Beginner,76000,24320,50
317,R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,480000,,75
318,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79000,,15
319,Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31000,,64
320,Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner,10000,,230
321,Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120000,14400,79
322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18000,4680,62
323,Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed,,0,32
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35000,,273
325,Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39000,,143
326,Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15000,,37
327,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100000,,30
328,Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed,50000,10500,72
329,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240000,,71
330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9200,,67
331,Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed,33000,,68
332,SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,160000,52800,77
333,"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21000,,148
334,"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.6,Mixed,,,24
335,Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4800,,279
336,Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130000,,59
337,Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14000,,288
338,Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,,16000,,159
339,Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,76000,26600,77
340,Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270000,,49
341,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed,95000,,26
342,Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39000,13260,45
343,Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5300,,208
344,Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45000,,291
345,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12000,,76
346,International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20000,,51
347,Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83000,,20
348,Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67000,20100,124
349,Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110000,,243
350,Using Databases with Python,University of Michigan,COURSE,4.8,Mixed,220000,44000,53
351,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130000,,66
352,Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29000,,275
353,Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Mixed,78000,,72
354,Weight Management: Beyond Balancing Calories,Emory University,COURSE,4.7,Beginner,34000,5440,37
355,Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3800,1330,262
356,Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6500,,282
357,"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner,130000,20800,20
358,Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46000,15640,29
359,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,,17000,4250,27
360,Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39000,,290
361,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26000,,53
362,People Analytics,University of Pennsylvania,COURSE,4.5,Mixed,84000,,19
363,Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8800,,156
364,"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner,250000,,23
365,Innovation Management,,COURSE,4.6,Beginner,40000,10400,73
366,Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30000,,183
367,Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60000,,273
368,School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner,9100,3003,203
369,Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56000,,76
370,Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4900,1960,175
371,Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120000,19200,17
372,Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99000,,138
373,Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1700,408,281
374,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41000,9020,12
375,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner,73000,,16
376,Data-driven Decision Making,PwC,COURSE,4.6,Beginner,120000,,70
377,Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47000,10340,32
378,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,130000,,59
379,What is Social?,Northwestern University,COURSE,4.6,Mixed,94000,,34
380,Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22000,3080,278
381,Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,58000,,56
382,Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24000,,15
383,Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42000,14280,54
384,Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66000,,27
385,Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430000,,71
386,Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17000,5610,19
387,Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3900,,254
388,Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110000,,69
389,Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed,68000,,26
390,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,,120000,,251
391,Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5800,1798,221
392,Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,150000,60000,53
393,SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,,0,351
394,Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78000,,194
395,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,95000,,11
396,Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10000,,77
397,Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,54000,11340,35
398,Operations Analytics,University of Pennsylvania,COURSE,4.7,Mixed,80000,10400,71
399,Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140000,,21
400,Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29000,7250,19
401,Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5,Intermediate,1600,,180
402,Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34000,9180,142
403,System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,,,23
404,International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22000,,76
405,Основы Digital Маркетинга,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,19000,6270,185
406,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",,COURSE,4.7,Beginner,43000,,14
407,Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,37000,12950,241
408,IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3300,330,59
409,Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55000,,217
410,Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,13000,,50
411,Getting Started with Google Sheets,Google Cloud,COURSE,4.6,,18000,,41
412,Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53000,18020,78
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91000,,54
414,Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed,36000,,74
415,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18000,5940,56
416,"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner,13000,,135
417,Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,,,56
418,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54000,18900,35
419,Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39000,5460,80
420,Data Visualization with Python,IBM,COURSE,4.6,Intermediate,66000,15840,48
421,Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150000,24000,29
422,Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75000,,66
423,Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36000,,286
424,Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,52000,,59
425,Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86000,,27
426,Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6400,2432,175
427,Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44000,,29
428,Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87000,,41
429,Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39000,,53
430,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,19000,4750,23
431,Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40000,,56
432,Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4900,637,232
433,Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16000,,132
434,Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140000,,300
435,Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43000,,23
436,Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54000,15120,133
437,Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4200,924,267
438,Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5400,,26
439,Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66000,,151
440,"Social Norms, Social Change I",University of Pennsylvania,COURSE,4.6,Beginner,78000,20280,68
441,Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30000,,22
442,FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9700,,28
443,Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85000,13600,44
444,Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7200,2664,22
445,"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30000,,289
446,Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68000,14960,69
447,International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2200,,25
448,Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26000,5720,14
449,Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49000,,29
450,COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32000,,44
451,International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22000,,218
452,Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31000,,54
453,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12000,,49
454,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14000,5040,69
455,Success,University of Pennsylvania,COURSE,4.8,Beginner,38000,8740,58
456,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2300,552,62
457,Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,,4800,,291
458,Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56000,15680,59
459,The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5200,,135
460,The Addicted Brain,Emory University,COURSE,4.6,Beginner,130000,27300,55
461,Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14000,4760,16
462,Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1600,,121
463,Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140000,18200,60
464,Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34000,8500,30
465,Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30000,,15
466,Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner,49000,,42
467,Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11000,2530,63
468,Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,,,242
469,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30000,,67
470,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,230000,,69
471,Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed,41000,,15
472,Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6200,,159
473,Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160000,,55
474,Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350000,,272
475,Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22000,3960,80
476,IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62000,,14
477,Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,34000,,48
478,Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10000,,38
479,Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79000,,54
480,Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12000,,198
481,More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,40000,8800,19
482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69000,13800,25
483,Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7900,2370,78
484,Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,,,136
485,Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,,16000,,121
486,Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84000,,43
487,Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17000,3570,50
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400,,71
489,Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73000,,41
490,Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35000,4900,33
491,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97000,,53
492,Искусство ведения бизнеса,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,14000,,124
493,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91000,31850,31
494,Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18000,,37
495,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140000,56000,79
496,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38000,5320,49
497,Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23000,,183
498,Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8800,,247
499,Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74000,,77
500,Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner,89000,33820,20
501,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89000,,64
502,Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69000,16560,194
503,Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,Beginner,83000,,266
504,Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,71000,,19
505,Model Thinking,University of Michigan,COURSE,4.8,Mixed,130000,,37
506,Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced,42000,,28
507,The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,47000,,51
508,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20000,,52
509,Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,,,13
510,Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21000,2100,49
511,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,,,79
512,Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200000,,32
513,Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10000,,213
514,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11000,,66
515,Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,17000,3230,40
516,L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8000,,12
517,Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner,120000,,76
518,Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160000,,53
519,De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,150000,,58
520,Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81000,,16
521,Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3200,,207
522,Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed,97000,,12
523,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9100,,32
524,The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,13000,,49
525,"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed,130000,26000,57
526,Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9100,2821,133
527,Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45000,6300,70
528,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51000,,59
529,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,45000,,74
530,Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner,110000,,23
531,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,,,297
532,Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24000,,24
533,Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,87000,33060,46
534,The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Mixed,120000,20400,70
535,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35000,,56
536,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed,82000,,66
537,Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10000,3300,167
538,Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22000,,36
539,Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48000,12960,26
540,Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14000,,56
541,Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10000,,44
542,Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140000,,35
543,What is Compliance?,University of Pennsylvania,COURSE,4.8,Mixed,6200,,28
544,Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43000,,50
545,Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,SPECIALIZATION,4.5,Intermediate,30000,5100,122
546,Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37000,,76
547,English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42000,,123
548,Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99000,,21
549,Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32000,,17
550,Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280000,,20
551,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180000,,15
552,Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310000,99200,65
553,Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29000,,266
554,How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170000,,57
555,"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26000,7540,34
556,Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71000,,40
557,Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72000,,79
558,Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27000,,33
559,Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Mixed,81000,26730,79
560,Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23000,,66
561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220000,28600,50
562,Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23000,4140,285
563,Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52000,,134
564,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57000,,27
565,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88000,,77
566,Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18000,,21
567,Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34000,,16
568,Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73000,17520,56
569,Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,,27000,7290,221
